Latitude,Longitude,city,clli_code,device,image,ip_address,network_code,network_type,region,zone
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNE11G,21.27.5 (87852),107.246.81.166,NE,Enterprise,OH,AKRNE1
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNE12G,21.27.5 (87852),107.246.81.168,NE,Enterprise,OH,AKRNE1
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNF11G,21.27.5 (87852),198.225.34.197,NF,FirstNet,OH,AKRNF1
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNF12G,21.27.5 (87852),198.225.34.199,NF,FirstNet,OH,AKRNF1
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ11G,21.27.5 (87852),107.246.81.179,NZ,Consumer,OH,AKRNZ1
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ12G,21.27.5 (87852),107.246.81.181,NZ,Consumer,OH,AKRNZ1
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ31G,21.27.5 (87852),155.174.235.116,NZ,Consumer,OH,AKRNZ3
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ32G,21.27.5 (87852),155.174.235.118,NZ,Consumer,OH,AKRNZ3
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ41G,21.27.5 (87852),155.174.235.112,NZ,Consumer,OH,AKRNZ4
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ42G,21.27.5 (87852),155.174.235.114,NZ,Consumer,OH,AKRNZ4
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ51G,21.28.m18 (92457),155.174.235.132,NZ,Consumer,OH,AKRNZ5
41.08482,-81.51561,AKRN,AKRNOH,AKRNOHNZ52G,21.28.m18 (92457),155.174.235.134,NZ,Consumer,OH,AKRNZ5
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNF11G,21.27.5 (87852),198.225.35.197,NF,FirstNet,TX,ALNNF1
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNF12G,21.27.5 (87852),198.225.35.199,NF,FirstNet,TX,ALNNF1
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ11G,21.27.5 (87852),107.246.20.124,NZ,Consumer,TX,ALNNZ1
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ12G,21.27.5 (87852),107.246.20.125,NZ,Consumer,TX,ALNNZ1
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ21G,21.27.5 (87852),107.246.20.128,NZ,Consumer,TX,ALNNZ2
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ22G,21.27.5 (87852),107.246.20.129,NZ,Consumer,TX,ALNNZ2
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ31G,21.27.5 (87852),107.246.20.132,NZ,Consumer,TX,ALNNZ3
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ32G,21.27.5 (87852),107.246.20.133,NZ,Consumer,TX,ALNNZ3
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ41G,21.27.5 (87852),107.246.20.162,NZ,Consumer,TX,ALNNZ4
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ42G,21.27.5 (87852),107.246.20.164,NZ,Consumer,TX,ALNNZ4
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ61G,21.27.5 (87852),107.246.20.170,NZ,Consumer,TX,ALNNZ6
33.104191,-96.671738,ALLN,ALLNTX,ALLNTXNZ62G,21.27.5 (87852),107.246.20.172,NZ,Consumer,TX,ALNNZ6
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANE11G,21.27.5 (87852),10.37.34.22,NE,Enterprise,GA,VTCNE1
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANE12G,21.27.5 (87852),10.37.34.24,NE,Enterprise,GA,VTCNE1
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANF11G,21.27.5 (87852),198.225.46.197,NF,FirstNet,GA,VTCNF1
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANF12G,21.27.5 (87852),198.225.46.199,NF,FirstNet,GA,VTCNF1
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANZ11G,21.27.5 (87852),10.37.34.42,NZ,Consumer,GA,VTCNZ1
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANZ12G,21.27.5 (87852),10.37.34.44,NZ,Consumer,GA,VTCNZ1
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANZ21G,21.27.5 (87852),10.37.34.62,NZ,Consumer,GA,VTCNZ2
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANZ22G,21.27.5 (87852),10.37.34.64,NZ,Consumer,GA,VTCNZ2
33.1455,-84.60264000000002,ALPS,ALPSGA,ALPSGANZ31G,21.27.5 (87852),10.37.34.82,NZ,Consumer,GA,VTCNZ3
